港澳台(多线路),#genre#
凤凰卫视中文台,http://103.95.24.37:880/fhws.m3u8
凤凰卫视中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视中文台,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰卫视中文台,http://giwon.ddns.net:5555/udp/239.93.0.162:2192
凤凰卫视中文台,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰卫视中文台,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰卫视中文台,http://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰卫视资讯台,http://103.95.24.37:880/fhzx.m3u8
凤凰卫视资讯台,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰卫视资讯台,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰卫视资讯台,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰卫视资讯台,http://giwon.ddns.net:5555/udp/239.93.1.4:2191
凤凰卫视资讯台,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰卫视资讯台,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰卫视资讯台,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰卫视资讯台,https://edge1.laotv.la/live/PhoenixNews/index.m3u8
凤凰卫视资讯台,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰卫视资讯台,http://play-flive.ifeng.com/live/06OLEEWQKN4.flv
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视,http://171.108.239.95:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://171.108.239.48:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://171.108.239.92:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://171.108.239.95:8181/tsfile/live/1012_1.m3u8?key=txiptv
星空卫视,http://171.108.239.95:8181/tsfile/live/1012_1.m3u8
星空卫视,http://171.108.239.92:8181/tsfile/live/1012_1.m3u8?key=txiptv
星空卫视,http://171.108.239.92:8181/tsfile/live/1012_1.m3u8

YouTube,#genre#
凤凰卫视资讯台,https://www.youtube.com/watch?v=HFib76ySpbU
寰宇新闻台,https://www.youtube.com/watch?v=6IquAgfvYmc
台视新闻,https://www.youtube.com/watch?v=xL0ch83RAK8
民视新闻,https://www.youtube.com/watch?v=ylYJSBUgaMA
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立新闻,https://www.youtube.com/watch?v=oZdzzvxTfUY
东森新闻,https://www.youtube.com/watch?v=2dfAzcDf8Zg
公视新闻,https://www.youtube.com/watch?v=quwqlazU-c8
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
TVBS新闻台,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
中天新闻,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE
KBS KOREA,https://www.youtube.com/watch?v=OxQQsIvJTTU
CNA,https://www.youtube.com/watch?v=XWq5kBlakcQ
NBC News NOW,https://www.youtube.com/watch?v=oGDHdE5EaAo
YTN,https://www.youtube.com/watch?v=FJfwehhzIhw
ABC News,https://www.youtube.com/watch?v=gN0PZCe-kwQ
