央视,#genre#
CCTV1,http://171.11.172.73:808/hls/1/index.m3u8
CCTV2,http://171.11.172.73:808/hls/2/index.m3u8
CCTV3,http://171.11.172.73:808/hls/3/index.m3u8
CCTV4,http://171.11.172.73:808/hls/4/index.m3u8
CCTV5,http://171.11.172.73:808/hls/5/index.m3u8
CCTV6,http://171.11.172.73:808/hls/6/index.m3u8
CCTV7,http://171.11.172.73:808/hls/7/index.m3u8
CCTV8,http://171.11.172.73:808/hls/8/index.m3u8
CCTV9,http://171.11.172.73:808/hls/9/index.m3u8
CCTV10,http://171.11.172.73:808/hls/10/index.m3u8
CCTV11,http://171.11.172.73:808/hls/11/index.m3u8
CCTV12,http://171.11.172.73:808/hls/12/index.m3u8
CCTV13,http://171.11.172.73:808/hls/13/index.m3u8
CCTV14,http://171.11.172.73:808/hls/14/index.m3u8
CCTV15,http://171.11.172.73:808/hls/15/index.m3u8
CCTV17,http://171.11.172.73:808/hls/17/index.m3u8
CCTV5+,http://171.11.172.73:808/hls/18/index.m3u8
CCTV1,http://59.55.35.32:20000/hls/1/index.m3u8
CCTV5+,http://59.55.35.32:20000/hls/2/index.m3u8
CCTV13,http://59.55.35.32:20000/hls/19/index.m3u8
CCTV7,http://59.55.35.32:20000/hls/29/index.m3u8
CCTVNEWS,http://59.55.35.32:20000/hls/41/index.m3u8
CCTV1,http://110.7.130.123:8096/tsfile/live/0001_1.m3u8
CCTV1,http://112.114.137.121:888/hls/1/index.m3u8
CCTV2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV3,http://112.114.137.121:888/hls/3/index.m3u8
CCTV4,http://112.114.137.121:888/hls/4/index.m3u8
CCTV5,http://112.114.137.121:888/hls/5/index.m3u8
CCTV6,http://112.114.137.121:888/hls/6/index.m3u8
CCTV7,http://112.114.137.121:888/hls/7/index.m3u8
CCTV8,http://112.114.137.121:888/hls/8/index.m3u8
CCTV9,http://112.114.137.121:888/hls/9/index.m3u8
CCTV10,http://112.114.137.121:888/hls/10/index.m3u8
CCTV12,http://112.114.137.121:888/hls/12/index.m3u8
CCTV14,http://112.114.137.121:888/hls/14/index.m3u8
CCTV5+,http://112.114.137.121:888/hls/16/index.m3u8
CCTV1,http://123.163.55.234:9901/tsfile/live/0001_1.m3u8
CCTV3,http://123.163.55.234:9901/tsfile/live/0003_1.m3u8
CCTV4,http://123.163.55.234:9901/tsfile/live/0004_1.m3u8
CCTV5,http://123.163.55.234:9901/tsfile/live/0005_1.m3u8
CCTV6,http://123.163.55.234:9901/tsfile/live/0006_1.m3u8
CCTV7,http://123.163.55.234:9901/tsfile/live/0007_1.m3u8
CCTV8,http://123.163.55.234:9901/tsfile/live/0008_1.m3u8
CCTV9,http://123.163.55.234:9901/tsfile/live/0009_1.m3u8
CCTV10,http://123.163.55.234:9901/tsfile/live/0010_1.m3u8
CCTV11,http://123.163.55.234:9901/tsfile/live/0011_1.m3u8
CCTV12,http://123.163.55.234:9901/tsfile/live/0012_1.m3u8
CCTV13,http://123.163.55.234:9901/tsfile/live/0013_1.m3u8
CCTV1,http://220.188.216.81:9999/rtp/233.50.201.118:5140
CCTV2,http://220.188.216.81:9999/rtp/233.50.201.119:5140
CCTV3,http://220.188.216.81:9999/rtp/233.50.201.196:5140
CCTV4,http://220.188.216.81:9999/rtp/233.50.201.4:5140
CCTV5,http://220.188.216.81:9999/rtp/233.50.201.197:5140
CCTV5+,http://220.188.216.81:9999/rtp/233.50.201.220:5140
CCTV6,http://220.188.216.81:9999/rtp/233.50.201.198:5140
CCTV7,http://220.188.216.81:9999/rtp/233.50.201.120:5140
